Year MonthOfYear DayOfMonth HourOfDay(UTC) DayOfYear DayOfCentury AirPressure(hPa) AirTemperature(C) AirTemperatureHygroClip(C) RelativeHumidity_wrtWater(%) RelativeHumidity(%) WindSpeed(m/s) WindDirection(d) ShortwaveRadiationDown(W/m2) ShortwaveRadiationDown_Cor(W/m2) ShortwaveRadiationUp(W/m2) ShortwaveRadiationUp_Cor(W/m2) Albedo_theta<70d LongwaveRadiationDown(W/m2) LongwaveRadiationUp(W/m2) CloudCover SurfaceTemperature(C) HeightSensorBoom(m) HeightStakes(m) DepthPressureTransducer(m) DepthPressureTransducer_Cor(m) IceTemperature1(C) IceTemperature2(C) IceTemperature3(C) IceTemperature4(C) IceTemperature5(C) IceTemperature6(C) IceTemperature7(C) IceTemperature8(C) TiltToEast(d) TiltToNorth(d) TimeGPS(hhmmssUTC) LatitudeGPS((dd)mm.mmmmm) LongitudeGPS((dd)mm.mmmmm) ElevationGPS(m) HorDilOfPrecGPS LoggerTemperature(C) FanCurrent(mA) BatteryVoltage(V)
2016 9 18 22 -999 -999 917 -9.62 -49.92 96.2 87.6 6.68 95 27.3 -999 27 -999 -999 200.7 268.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 18 23 -999 -999 918 -9.17 -49.41 94.5 86.4 6.78 101.5 -1.2 -999 2.2 -999 -999 192.2 269.5 -999 -999 2.194 1.122 10.202 -999 -2.75 -3.33 -2.9 -4.15 -2.34 -6.33 -7.52 -10.15 1.96 -.26 -999 -999 -999 755.5 1.8 -999 145 13.6
2016 9 19 0 -999 -999 918 -10.07 -50.34 97.3 88.2 6.5 95.8 -3.7 -999 .6 -999 -999 179.6 264.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 1 -999 -999 919 -9.96 -50.19 98.7 89.6 7.03 101.9 -3.8 -999 .2 -999 -999 177.3 265.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 2 -999 -999 919 -10.7 -50.95 101.9 91.8 5.01 69.9 -3 -999 .4 -999 -999 189.6 260.9 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 3 -999 -999 920 -9.51 -49.68 101.5 92.5 4.56 101.2 -3.9 -999 .3 -999 -999 182.7 265 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 4 -999 -999 920 -10.44 -50.77 106.7 96.4 5.19 104.2 -3.2 -999 .5 -999 -999 180 262.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 5 -999 -999 920 -10.42 -50.69 103.6 93.6 5.96 101.9 -3.5 -999 .3 -999 -999 179.8 263.2 -999 -999 2.196 1.129 10.203 -999 -2.79 -3.36 -2.92 -4.16 -2.34 -6.33 -7.51 -10.14 1.57 .06 -999 -999 -999 759.9 .8 -999 133 12.89
2016 9 19 7 -999 -999 920 -10.47 -50.77 102.2 92.3 5.69 102.3 -3.6 -999 .5 -999 -999 178.8 262.3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 9 -999 -999 921 -11.96 -52.23 105 93.5 5.19 100.5 1.5 -999 3.3 -999 -999 178 255.5 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 10 -999 -999 922 -12.1 -52.33 106.2 94.4 4.79 104.3 27.9 -999 12.3 -999 -999 177.8 254.7 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 11 -999 -999 922 -11.09 -51.45 101.1 90.8 4.08 107.1 109.1 -999 38.9 -999 -999 206 259.9 -999 -999 2.194 1.131 10.215 -999 -2.84 -3.4 -2.93 -4.18 -2.35 -6.32 -7.51 -10.13 1.39 -.33 -999 -999 -999 757 .8 -999 132 12.82
2016 9 19 12 -999 -999 922 -9.99 -50.16 95.8 86.9 3.47 117.9 129.1 -999 63.1 -999 -999 190.7 261.8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 13 -999 -999 922 -10.34 -50.38 91.5 82.7 4.97 112.3 352.5 -999 126.1 -999 -999 173.8 264.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 14 -999 -999 922 -10.2 -50.23 87.9 79.6 5.63 113.1 368.6 -999 167 -999 -999 173 266.6 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 15 -999 -999 922 -9.71 -49.72 94 85.5 5.65 103.4 381.2 -999 199.7 -999 -999 174.8 269.8 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 16 -999 -999 922 -9.23 -49.22 92.8 84.8 4.88 101.7 373.7 -999 216.1 -999 -999 178.1 272.1 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 17 -999 -999 922 -9.42 -49.43 88.8 81 4.97 97.7 347.2 -999 220 -999 -999 179.1 271.6 -999 -999 2.206 1.134 10.205 -999 -2.87 -3.44 -2.97 -4.2 -2.36 -6.33 -7.5 -10.13 1.31 .11 -999 -999 -999 750.2 1.1 -999 156 14.58
2016 9 19 18 -999 -999 922 -9.13 -49.12 85.1 77.9 5.08 102.2 298.5 -999 206.2 -999 -999 179.9 272.3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 19 -999 -999 922 -10.08 -50.16 86.1 78.1 5.51 98.8 135.8 -999 100.4 -999 -999 188.2 267.2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
2016 9 19 20 -999 -999 923 -9.7 -49.89 79.2 72.1 5.78 102.5 141 -999 108.6 -999 -999 210.8 269.2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999
